sub,roi,eyes,level,apeak,bpeak
sub001,somato,open,sensor,10,17
sub001,visual,open,sensor,10,21
sub001,auditory,open,sensor,10,17
sub001,somato,closed,sensor,10,19
sub001,visual,closed,sensor,10,20
sub001,auditory,closed,sensor,10,17
sub002,somato,open,sensor,8,17
sub002,visual,open,sensor,8,17
sub002,auditory,open,sensor,8,17
sub002,somato,closed,sensor,8,17
sub002,visual,closed,sensor,9,18
sub002,auditory,closed,sensor,8,16
sub003,somato,open,sensor,10,20
sub003,visual,open,sensor,11,20
sub003,auditory,open,sensor,10,20
sub003,somato,closed,sensor,10,20
sub003,visual,closed,sensor,10,20
sub003,auditory,closed,sensor,10,20
sub004,somato,open,sensor,10,20
sub004,visual,open,sensor,10,19
sub004,auditory,open,sensor,7,22
sub004,somato,closed,sensor,10,20
sub004,visual,closed,sensor,10,19
sub004,auditory,closed,sensor,9,20
sub005,somato,open,sensor,8,17
sub005,visual,open,sensor,10,21
sub005,auditory,open,sensor,9,19
sub005,somato,closed,sensor,10,18
sub005,visual,closed,sensor,10,20
sub005,auditory,closed,sensor,10,20
sub006,somato,open,sensor,13,21
sub006,visual,open,sensor,10,21
sub006,auditory,open,sensor,10,19
sub006,somato,closed,sensor,12,20
sub006,visual,closed,sensor,10,20
sub006,auditory,closed,sensor,9,18
sub007,somato,open,sensor,12,23
sub007,visual,open,sensor,11,21
sub007,auditory,open,sensor,7,23
sub007,somato,closed,sensor,11,23
sub007,visual,closed,sensor,11,21
sub007,auditory,closed,sensor,7,21
sub008,somato,open,sensor,11,20
sub008,visual,open,sensor,11,21
sub008,auditory,open,sensor,13,27
sub008,somato,closed,sensor,13,20
sub008,visual,closed,sensor,11,22
sub008,auditory,closed,sensor,13,19
sub009,somato,open,sensor,9,20
sub009,visual,open,sensor,9,18
sub009,auditory,open,sensor,9,17
sub009,somato,closed,sensor,9,18
sub009,visual,closed,sensor,9,18
sub009,auditory,closed,sensor,9,17
sub010,somato,open,sensor,10,21
sub010,visual,open,sensor,10,20
sub010,auditory,open,sensor,10,21
sub010,somato,closed,sensor,10,20
sub010,visual,closed,sensor,10,20
sub010,auditory,closed,sensor,10,20
sub011,somato,open,sensor,11,20
sub011,visual,open,sensor,11,21
sub011,auditory,open,sensor,11,21
sub011,somato,closed,sensor,12,17
sub011,visual,closed,sensor,12,23
sub011,auditory,closed,sensor,12,20
sub012,somato,open,sensor,10,20
sub012,visual,open,sensor,10,20
sub012,auditory,open,sensor,10,21
sub012,somato,closed,sensor,10,20
sub012,visual,closed,sensor,10,21
sub012,auditory,closed,sensor,10,21
sub017,somato,open,sensor,11,22
sub017,visual,open,sensor,11,20
sub017,auditory,open,sensor,11,21
sub017,somato,closed,sensor,11,22
sub017,visual,closed,sensor,11,21
sub017,auditory,closed,sensor,11,21
sub018,somato,open,sensor,9,20
sub018,visual,open,sensor,11,23
sub018,auditory,open,sensor,7,21
sub018,somato,closed,sensor,7,21
sub018,visual,closed,sensor,10,24
sub018,auditory,closed,sensor,7,21
sub020,somato,open,sensor,10,21
sub020,visual,open,sensor,10,19
sub020,auditory,open,sensor,10,21
sub020,somato,closed,sensor,10,20
sub020,visual,closed,sensor,10,20
sub020,auditory,closed,sensor,7,21
sub021,somato,open,sensor,9,21
sub021,visual,open,sensor,9,18
sub021,auditory,open,sensor,9,21
sub021,somato,closed,sensor,9,21
sub021,visual,closed,sensor,9,19
sub021,auditory,closed,sensor,10,21
sub022,somato,open,sensor,10,21
sub022,visual,open,sensor,10,16
sub022,auditory,open,sensor,10,23
sub022,somato,closed,sensor,10,22
sub022,visual,closed,sensor,10,19
sub022,auditory,closed,sensor,10,22
sub023,somato,open,sensor,11,23
sub023,visual,open,sensor,10,21
sub023,auditory,open,sensor,11,23
sub023,somato,closed,sensor,11,23
sub023,visual,closed,sensor,10,20
sub023,auditory,closed,sensor,11,23
sub024,somato,open,sensor,10,20
sub024,visual,open,sensor,10,20
sub024,auditory,open,sensor,10,20
sub024,somato,closed,sensor,10,20
sub024,visual,closed,sensor,10,20
sub024,auditory,closed,sensor,10,20
sub025,somato,open,sensor,12,23
sub025,visual,open,sensor,11,22
sub025,auditory,open,sensor,12,24
sub025,somato,closed,sensor,11,21
sub025,visual,closed,sensor,10,21
sub025,auditory,closed,sensor,11,21
sub026,somato,open,sensor,10,20
sub026,visual,open,sensor,10,20
sub026,auditory,open,sensor,7,27
sub026,somato,closed,sensor,9,20
sub026,visual,closed,sensor,9,19
sub026,auditory,closed,sensor,9,24
sub027,somato,open,sensor,10,20
sub027,visual,open,sensor,10,21
sub027,auditory,open,sensor,10,20
sub027,somato,closed,sensor,10,21
sub027,visual,closed,sensor,11,21
sub027,auditory,closed,sensor,10,21
sub028,somato,open,sensor,8,20
sub028,visual,open,sensor,10,21
sub028,auditory,open,sensor,7,20
sub028,somato,closed,sensor,7,20
sub028,visual,closed,sensor,9,19
sub028,auditory,closed,sensor,7,20
sub029,somato,open,sensor,12,20
sub029,visual,open,sensor,11,21
sub029,auditory,open,sensor,7,22
sub029,somato,closed,sensor,7,20
sub029,visual,closed,sensor,11,21
sub029,auditory,closed,sensor,7,21
sub030,somato,open,sensor,7,20
sub030,visual,open,sensor,10,20
sub030,auditory,open,sensor,7,18
sub030,somato,closed,sensor,11,22
sub030,visual,closed,sensor,11,21
sub030,auditory,closed,sensor,11,21
sub031,somato,open,sensor,9,19
sub031,visual,open,sensor,9,19
sub031,auditory,open,sensor,9,19
sub031,somato,closed,sensor,9,19
sub031,visual,closed,sensor,10,19
sub031,auditory,closed,sensor,9,19
sub032,somato,open,sensor,10,20
sub032,visual,open,sensor,10,20
sub032,auditory,open,sensor,10,18
sub032,somato,closed,sensor,10,20
sub032,visual,closed,sensor,10,20
sub032,auditory,closed,sensor,10,17
sub033,somato,open,sensor,11,22
sub033,visual,open,sensor,10,16
sub033,auditory,open,sensor,10,20
sub033,somato,closed,sensor,11,21
sub033,visual,closed,sensor,10,20
sub033,auditory,closed,sensor,10,22
sub034,somato,open,sensor,11,22
sub034,visual,open,sensor,11,20
sub034,auditory,open,sensor,9,17
sub034,somato,closed,sensor,9,20
sub034,visual,closed,sensor,9,19
sub034,auditory,closed,sensor,9,18
sub035,somato,open,sensor,8,16
sub035,visual,open,sensor,9,18
sub035,auditory,open,sensor,8,16
sub035,somato,closed,sensor,8,16
sub035,visual,closed,sensor,9,18
sub035,auditory,closed,sensor,8,16
sub036,somato,open,sensor,10,19
sub036,visual,open,sensor,10,20
sub036,auditory,open,sensor,10,18
sub036,somato,closed,sensor,10,19
sub036,visual,closed,sensor,10,19
sub036,auditory,closed,sensor,9,18
sub037,somato,open,sensor,9,19
sub037,visual,open,sensor,10,19
sub037,auditory,open,sensor,9,18
sub037,somato,closed,sensor,9,20
sub037,visual,closed,sensor,10,20
sub037,auditory,closed,sensor,9,18
sub039,somato,open,sensor,10,20
sub039,visual,open,sensor,10,21
sub039,auditory,open,sensor,10,20
sub039,somato,closed,sensor,10,20
sub039,visual,closed,sensor,10,20
sub039,auditory,closed,sensor,10,20
