sub,eyes,roi,level,apeak,bpeak
sub001,open,somato,source,10,20
sub001,closed,somato,source,10,20
sub001,open,visual,source,10,21
sub001,closed,visual,source,10,20
sub001,open,auditory,source,9,22
sub001,closed,auditory,source,9,20
sub001,open,somato,sensor,10,17
sub001,open,visual,sensor,10,21
sub001,open,auditory,sensor,10,17
sub001,closed,somato,sensor,10,19
sub001,closed,visual,sensor,10,20
sub001,closed,auditory,sensor,10,17
sub002,open,somato,source,8,17
sub002,closed,somato,source,7,17
sub002,open,visual,source,8,21
sub002,closed,visual,source,9,18
sub002,open,auditory,source,7,25
sub002,closed,auditory,source,7,26
sub002,open,somato,sensor,8,17
sub002,open,visual,sensor,8,17
sub002,open,auditory,sensor,8,17
sub002,closed,somato,sensor,8,17
sub002,closed,visual,sensor,9,18
sub002,closed,auditory,sensor,8,16
sub003,open,somato,source,10,19
sub003,closed,somato,source,10,18
sub003,open,visual,source,11,19
sub003,closed,visual,source,10,19
sub003,open,auditory,source,7,19
sub003,closed,auditory,source,9,20
sub003,open,somato,sensor,10,20
sub003,open,visual,sensor,11,20
sub003,open,auditory,sensor,10,20
sub003,closed,somato,sensor,10,20
sub003,closed,visual,sensor,10,20
sub003,closed,auditory,sensor,10,20
sub004,open,somato,source,8,17
sub004,closed,somato,source,11,21
sub004,open,visual,source,10,21
sub004,closed,visual,source,10,19
sub004,open,auditory,source,8,24
sub004,closed,auditory,source,7,24
sub004,open,somato,sensor,10,20
sub004,open,visual,sensor,10,19
sub004,open,auditory,sensor,7,22
sub004,closed,somato,sensor,10,20
sub004,closed,visual,sensor,10,19
sub004,closed,auditory,sensor,9,20
sub005,open,somato,source,9,20
sub005,closed,somato,source,9,21
sub005,open,visual,source,10,21
sub005,closed,visual,source,10,20
sub005,open,auditory,source,8,22
sub005,closed,auditory,source,9,20
sub005,open,somato,sensor,8,17
sub005,open,visual,sensor,10,21
sub005,open,auditory,sensor,9,19
sub005,closed,somato,sensor,10,18
sub005,closed,visual,sensor,10,20
sub005,closed,auditory,sensor,10,20
sub006,open,somato,source,12,21
sub006,closed,somato,source,12,20
sub006,open,visual,source,12,21
sub006,closed,visual,source,10,23
sub006,open,auditory,source,10,21
sub006,closed,auditory,source,11,20
sub006,open,somato,sensor,13,21
sub006,open,visual,sensor,10,21
sub006,open,auditory,sensor,10,19
sub006,closed,somato,sensor,12,20
sub006,closed,visual,sensor,10,20
sub006,closed,auditory,sensor,9,18
sub007,open,somato,source,9,21
sub007,closed,somato,source,11,21
sub007,open,visual,source,11,21
sub007,closed,visual,source,11,21
sub007,open,auditory,source,7,21
sub007,closed,auditory,source,9,20
sub007,open,somato,sensor,12,23
sub007,open,visual,sensor,11,21
sub007,open,auditory,sensor,7,23
sub007,closed,somato,sensor,11,23
sub007,closed,visual,sensor,11,21
sub007,closed,auditory,sensor,7,21
sub008,open,somato,source,9,30
sub008,closed,somato,source,10,30
sub008,open,visual,source,11,31
sub008,closed,visual,source,12,25
sub008,open,auditory,source,12,30
sub008,closed,auditory,source,12,30
sub008,open,somato,sensor,11,20
sub008,open,visual,sensor,11,21
sub008,open,auditory,sensor,13,27
sub008,closed,somato,sensor,13,20
sub008,closed,visual,sensor,11,22
sub008,closed,auditory,sensor,13,19
sub009,open,somato,source,10,19
sub009,closed,somato,source,10,18
sub009,open,visual,source,9,18
sub009,closed,visual,source,9,16
sub009,open,auditory,source,8,20
sub009,closed,auditory,source,8,20
sub009,open,somato,sensor,9,20
sub009,open,visual,sensor,9,18
sub009,open,auditory,sensor,9,17
sub009,closed,somato,sensor,9,18
sub009,closed,visual,sensor,9,18
sub009,closed,auditory,sensor,9,17
sub010,open,somato,source,10,20
sub010,closed,somato,source,10,20
sub010,open,visual,source,10,19
sub010,closed,visual,source,10,20
sub010,open,auditory,source,11,20
sub010,closed,auditory,source,10,19
sub010,open,somato,sensor,10,21
sub010,open,visual,sensor,10,20
sub010,open,auditory,sensor,10,21
sub010,closed,somato,sensor,10,20
sub010,closed,visual,sensor,10,20
sub010,closed,auditory,sensor,10,20
sub011,open,somato,source,14,18
sub011,closed,somato,source,14,19
sub011,open,visual,source,11,18
sub011,closed,visual,source,11,22
sub011,open,auditory,source,14,21
sub011,closed,auditory,source,13,18
sub011,open,somato,sensor,11,20
sub011,open,visual,sensor,11,21
sub011,open,auditory,sensor,11,21
sub011,closed,somato,sensor,12,17
sub011,closed,visual,sensor,12,23
sub011,closed,auditory,sensor,12,20
sub012,open,somato,source,10,18
sub012,closed,somato,source,11,18
sub012,open,visual,source,10,18
sub012,closed,visual,source,10,21
sub012,open,auditory,source,8,17
sub012,closed,auditory,source,10,18
sub012,open,somato,sensor,10,20
sub012,open,visual,sensor,10,20
sub012,open,auditory,sensor,10,21
sub012,closed,somato,sensor,10,20
sub012,closed,visual,sensor,10,21
sub012,closed,auditory,sensor,10,21
sub017,open,somato,source,11,21
sub017,closed,somato,source,11,21
sub017,open,visual,source,11,21
sub017,closed,visual,source,11,21
sub017,open,auditory,source,7,20
sub017,closed,auditory,source,10,21
sub017,open,somato,sensor,11,22
sub017,open,visual,sensor,11,20
sub017,open,auditory,sensor,11,21
sub017,closed,somato,sensor,11,22
sub017,closed,visual,sensor,11,21
sub017,closed,auditory,sensor,11,21
sub018,open,somato,source,9,22
sub018,closed,somato,source,7,21
sub018,open,visual,source,11,23
sub018,closed,visual,source,10,25
sub018,open,auditory,source,7,21
sub018,closed,auditory,source,7,21
sub018,open,somato,sensor,9,20
sub018,open,visual,sensor,11,23
sub018,open,auditory,sensor,7,21
sub018,closed,somato,sensor,7,21
sub018,closed,visual,sensor,10,24
sub018,closed,auditory,sensor,7,21
sub020,open,somato,source,10,20
sub020,closed,somato,source,10,20
sub020,open,visual,source,9,19
sub020,closed,visual,source,10,21
sub020,open,auditory,source,7,21
sub020,closed,auditory,source,7,19
sub020,open,somato,sensor,10,21
sub020,open,visual,sensor,10,19
sub020,open,auditory,sensor,10,21
sub020,closed,somato,sensor,10,20
sub020,closed,visual,sensor,10,20
sub020,closed,auditory,sensor,7,21
sub021,open,somato,source,10,19
sub021,closed,somato,source,10,20
sub021,open,visual,source,10,23
sub021,closed,visual,source,10,19
sub021,open,auditory,source,9,27
sub021,closed,auditory,source,9,21
sub021,open,somato,sensor,9,21
sub021,open,visual,sensor,9,18
sub021,open,auditory,sensor,9,21
sub021,closed,somato,sensor,9,21
sub021,closed,visual,sensor,9,19
sub021,closed,auditory,sensor,10,21
sub022,open,somato,source,11,22
sub022,closed,somato,source,10,22
sub022,open,visual,source,10,24
sub022,closed,visual,source,10,18
sub022,open,auditory,source,8,22
sub022,closed,auditory,source,9,20
sub022,open,somato,sensor,10,21
sub022,open,visual,sensor,10,16
sub022,open,auditory,sensor,10,23
sub022,closed,somato,sensor,10,22
sub022,closed,visual,sensor,10,19
sub022,closed,auditory,sensor,10,22
sub023,open,somato,source,12,23
sub023,closed,somato,source,11,23
sub023,open,visual,source,11,22
sub023,closed,visual,source,10,20
sub023,open,auditory,source,11,22
sub023,closed,auditory,source,11,19
sub023,open,somato,sensor,11,23
sub023,open,visual,sensor,10,21
sub023,open,auditory,sensor,11,23
sub023,closed,somato,sensor,11,23
sub023,closed,visual,sensor,10,20
sub023,closed,auditory,sensor,11,23
sub024,open,somato,source,11,21
sub024,closed,somato,source,11,21
sub024,open,visual,source,11,19
sub024,closed,visual,source,10,20
sub024,open,auditory,source,7,17
sub024,closed,auditory,source,9,18
sub024,open,somato,sensor,10,20
sub024,open,visual,sensor,10,20
sub024,open,auditory,sensor,10,20
sub024,closed,somato,sensor,10,20
sub024,closed,visual,sensor,10,20
sub024,closed,auditory,sensor,10,20
sub025,open,somato,source,12,24
sub025,closed,somato,source,11,21
sub025,open,visual,source,11,19
sub025,closed,visual,source,10,21
sub025,open,auditory,source,11,23
sub025,closed,auditory,source,11,21
sub025,open,somato,sensor,12,23
sub025,open,visual,sensor,11,22
sub025,open,auditory,sensor,12,24
sub025,closed,somato,sensor,11,21
sub025,closed,visual,sensor,10,21
sub025,closed,auditory,sensor,11,21
sub026,open,somato,source,7,19
sub026,closed,somato,source,9,23
sub026,open,visual,source,10,20
sub026,closed,visual,source,10,19
sub026,open,auditory,source,9,19
sub026,closed,auditory,source,9,18
sub026,open,somato,sensor,10,20
sub026,open,visual,sensor,10,20
sub026,open,auditory,sensor,7,27
sub026,closed,somato,sensor,9,20
sub026,closed,visual,sensor,9,19
sub026,closed,auditory,sensor,9,24
sub027,open,somato,source,9,17
sub027,closed,somato,source,10,20
sub027,open,visual,source,10,20
sub027,closed,visual,source,11,21
sub027,open,auditory,source,10,21
sub027,closed,auditory,source,10,26
sub027,open,somato,sensor,10,20
sub027,open,visual,sensor,10,21
sub027,open,auditory,sensor,10,20
sub027,closed,somato,sensor,10,21
sub027,closed,visual,sensor,11,21
sub027,closed,auditory,sensor,10,21
sub028,open,somato,source,8,16
sub028,closed,somato,source,7,22
sub028,open,visual,source,9,22
sub028,closed,visual,source,9,22
sub028,open,auditory,source,7,21
sub028,closed,auditory,source,7,21
sub028,open,somato,sensor,8,20
sub028,open,visual,sensor,10,21
sub028,open,auditory,sensor,7,20
sub028,closed,somato,sensor,7,20
sub028,closed,visual,sensor,9,19
sub028,closed,auditory,sensor,7,20
sub029,open,somato,source,12,23
sub029,closed,somato,source,12,21
sub029,open,visual,source,11,23
sub029,closed,visual,source,11,20
sub029,open,auditory,source,8,19
sub029,closed,auditory,source,10,22
sub029,open,somato,sensor,12,20
sub029,open,visual,sensor,11,21
sub029,open,auditory,sensor,7,22
sub029,closed,somato,sensor,7,20
sub029,closed,visual,sensor,11,21
sub029,closed,auditory,sensor,7,21
sub030,open,somato,source,9,22
sub030,closed,somato,source,11,22
sub030,open,visual,source,11,18
sub030,closed,visual,source,10,21
sub030,open,auditory,source,7,17
sub030,closed,auditory,source,7,17
sub030,open,somato,sensor,7,20
sub030,open,visual,sensor,10,20
sub030,open,auditory,sensor,7,18
sub030,closed,somato,sensor,11,22
sub030,closed,visual,sensor,11,21
sub030,closed,auditory,sensor,11,21
sub031,open,somato,source,9,17
sub031,closed,somato,source,8,18
sub031,open,visual,source,9,20
sub031,closed,visual,source,9,19
sub031,open,auditory,source,8,18
sub031,closed,auditory,source,9,18
sub031,open,somato,sensor,9,19
sub031,open,visual,sensor,9,19
sub031,open,auditory,sensor,9,19
sub031,closed,somato,sensor,9,19
sub031,closed,visual,sensor,10,19
sub031,closed,auditory,sensor,9,19
sub032,open,somato,source,10,21
sub032,closed,somato,source,11,20
sub032,open,visual,source,10,18
sub032,closed,visual,source,10,20
sub032,open,auditory,source,7,20
sub032,closed,auditory,source,9,17
sub032,open,somato,sensor,10,20
sub032,open,visual,sensor,10,20
sub032,open,auditory,sensor,10,18
sub032,closed,somato,sensor,10,20
sub032,closed,visual,sensor,10,20
sub032,closed,auditory,sensor,10,17
sub033,open,somato,source,11,21
sub033,closed,somato,source,11,22
sub033,open,visual,source,10,21
sub033,closed,visual,source,10,20
sub033,open,auditory,source,9,20
sub033,closed,auditory,source,9,24
sub033,open,somato,sensor,11,22
sub033,open,visual,sensor,10,16
sub033,open,auditory,sensor,10,20
sub033,closed,somato,sensor,11,21
sub033,closed,visual,sensor,10,20
sub033,closed,auditory,sensor,10,22
sub034,open,somato,source,10,18
sub034,closed,somato,source,10,19
sub034,open,visual,source,11,18
sub034,closed,visual,source,9,18
sub034,open,auditory,source,10,17
sub034,closed,auditory,source,11,16
sub034,open,somato,sensor,11,22
sub034,open,visual,sensor,11,20
sub034,open,auditory,sensor,9,17
sub034,closed,somato,sensor,9,20
sub034,closed,visual,sensor,9,19
sub034,closed,auditory,sensor,9,18
sub035,open,somato,source,8,16
sub035,closed,somato,source,8,24
sub035,open,visual,source,9,18
sub035,closed,visual,source,9,17
sub035,open,auditory,source,8,22
sub035,closed,auditory,source,8,23
sub035,open,somato,sensor,8,16
sub035,open,visual,sensor,9,18
sub035,open,auditory,sensor,8,16
sub035,closed,somato,sensor,8,16
sub035,closed,visual,sensor,9,18
sub035,closed,auditory,sensor,8,16
sub036,open,somato,source,12,23
sub036,closed,somato,source,12,21
sub036,open,visual,source,10,19
sub036,closed,visual,source,10,19
sub036,open,auditory,source,10,20
sub036,closed,auditory,source,10,24
sub036,open,somato,sensor,10,19
sub036,open,visual,sensor,10,20
sub036,open,auditory,sensor,10,18
sub036,closed,somato,sensor,10,19
sub036,closed,visual,sensor,10,19
sub036,closed,auditory,sensor,9,18
sub037,open,somato,source,9,19
sub037,closed,somato,source,9,18
sub037,open,visual,source,10,20
sub037,closed,visual,source,10,20
sub037,open,auditory,source,8,22
sub037,closed,auditory,source,9,18
sub037,open,somato,sensor,9,19
sub037,open,visual,sensor,10,19
sub037,open,auditory,sensor,9,18
sub037,closed,somato,sensor,9,20
sub037,closed,visual,sensor,10,20
sub037,closed,auditory,sensor,9,18
sub039,open,somato,source,13,26
sub039,closed,somato,source,13,27
sub039,open,visual,source,10,21
sub039,closed,visual,source,10,20
sub039,open,auditory,source,10,18
sub039,closed,auditory,source,10,20
sub039,open,somato,sensor,10,20
sub039,open,visual,sensor,10,21
sub039,open,auditory,sensor,10,20
sub039,closed,somato,sensor,10,20
sub039,closed,visual,sensor,10,20
sub039,closed,auditory,sensor,10,20
