sub,eye,corr,rt,pow
sub001,open,incorrect,fast,-0.0338652564746743
sub001,open,incorrect,slow,0.201622636707968
sub001,open,incorrect,all,0.000549871129202434
sub001,open,correct,fast,0.127290091842398
sub001,open,correct,slow,0.205377503439472
sub001,open,correct,all,0.162985667291807
sub001,close,incorrect,fast,0.0626569013403342
sub001,close,incorrect,slow,-0.0370392015481621
sub001,close,incorrect,all,0.00199841406295895
sub001,close,correct,fast,0.174823218791905
sub001,close,correct,slow,0.0638145873942307
sub001,close,correct,all,0.0987337336007923
sub002,open,incorrect,fast,-0.220942749564753
sub002,open,incorrect,slow,0.396674059517936
sub002,open,incorrect,all,-0.0329808206193802
sub002,open,correct,fast,-0.105982393729928
sub002,open,correct,slow,-0.179858105128971
sub002,open,correct,all,-0.146647376718711
sub002,close,incorrect,fast,0.314102262463013
sub002,close,incorrect,slow,0.584817768775181
sub002,close,incorrect,all,0.418158807008119
sub002,close,correct,fast,0.274646932831354
sub002,close,correct,slow,-0.0368220798795029
sub002,close,correct,all,0.0955363242042554
sub003,open,incorrect,fast,0.746701634679255
sub003,open,incorrect,slow,0.368381697199336
sub003,open,incorrect,all,0.510249502458151
sub003,open,correct,fast,0.204728261261875
sub003,open,correct,slow,0.318867240174917
sub003,open,correct,all,0.257171460061484
sub003,close,incorrect,fast,-0.0255005488963127
sub003,close,incorrect,slow,0.00192905126793062
sub003,close,incorrect,all,-0.0109198958507565
sub003,close,correct,fast,0.1144850160204
sub003,close,correct,slow,0.312158130980807
sub003,close,correct,all,0.199562853149155
sub004,open,incorrect,fast,-0.0993710311041554
sub004,open,incorrect,slow,0.652765193542348
sub004,open,incorrect,all,0.213641906857259
sub004,open,correct,fast,0.207943156714853
sub004,open,correct,slow,0.391190227397258
sub004,open,correct,all,0.28813310274481
sub004,close,incorrect,fast,0.35460565543541
sub004,close,incorrect,slow,0.208719569862857
sub004,close,incorrect,all,0.286691049455032
sub004,close,correct,fast,0.369038068630717
sub004,close,correct,slow,0.386396656045115
sub004,close,correct,all,0.372276319807337
sub005,open,incorrect,fast,0.328135868143149
sub005,open,incorrect,slow,-0.0140684022424309
sub005,open,incorrect,all,0.138625620875527
sub005,open,correct,fast,0.230735078668715
sub005,open,correct,slow,0.261483880339955
sub005,open,correct,all,0.246052562868571
sub005,close,incorrect,fast,0.205832472028664
sub005,close,incorrect,slow,-0.0465407125659342
sub005,close,incorrect,all,0.0653304689312218
sub005,close,correct,fast,0.193315825339467
sub005,close,correct,slow,0.100695930288771
sub005,close,correct,all,0.144447789357852
sub006,open,incorrect,fast,0.144779896540108
sub006,open,incorrect,slow,0.263272145797087
sub006,open,incorrect,all,0.198914057163665
sub006,open,correct,fast,0.257914416216429
sub006,open,correct,slow,0.236564739876231
sub006,open,correct,all,0.23307210640376
sub006,close,incorrect,fast,0.125014066086748
sub006,close,incorrect,slow,0.603697549024168
sub006,close,incorrect,all,0.355252695104476
sub006,close,correct,fast,0.662643289912639
sub006,close,correct,slow,0.623527133951558
sub006,close,correct,all,0.642870894969005
sub007,open,incorrect,fast,-0.155758163818293
sub007,open,incorrect,slow,-0.293888185006792
sub007,open,incorrect,all,-0.230284758619306
sub007,open,correct,fast,0.160564474477861
sub007,open,correct,slow,0.144459458372918
sub007,open,correct,all,0.0905567003255309
sub007,close,incorrect,fast,-0.430331805703203
sub007,close,incorrect,slow,-0.400485223116487
sub007,close,incorrect,all,-0.41512188596409
sub007,close,correct,fast,0.112914021307897
sub007,close,correct,slow,-0.216853086420723
sub007,close,correct,all,-0.0502874964516684
sub008,open,incorrect,fast,0.115873324817287
sub008,open,incorrect,slow,0.328293646786904
sub008,open,incorrect,all,0.181164305330342
sub008,open,correct,fast,-0.0401931623550613
sub008,open,correct,slow,0.275831620307578
sub008,open,correct,all,0.101483456423577
sub008,close,incorrect,fast,1.07315009303397
sub008,close,incorrect,slow,0.260608643559787
sub008,close,incorrect,all,0.746726108555289
sub008,close,correct,fast,0.235379537258324
sub008,close,correct,slow,-0.104337632249619
sub008,close,correct,all,0.0702233738069186
sub009,open,incorrect,fast,-0.0868117146818748
sub009,open,incorrect,slow,0.78072385188396
sub009,open,incorrect,all,0.255286902735068
sub009,open,correct,fast,0.246659840501603
sub009,open,correct,slow,0.349207938241417
sub009,open,correct,all,0.291354174149057
sub009,close,incorrect,fast,0.190432495059204
sub009,close,incorrect,slow,0.55635135023354
sub009,close,incorrect,all,0.350209392000627
sub009,close,correct,fast,0.0657054651973884
sub009,close,correct,slow,0.190222708982505
sub009,close,correct,all,0.118675535343716
sub010,open,incorrect,fast,0.609643218314269
sub010,open,incorrect,slow,0.147482287898169
sub010,open,incorrect,all,0.335098260175473
sub010,open,correct,fast,0.246099382390073
sub010,open,correct,slow,0.406090395567577
sub010,open,correct,all,0.322994587969996
sub010,close,incorrect,fast,0.0801632660670731
sub010,close,incorrect,slow,0.016405060843479
sub010,close,incorrect,all,0.0393119633770822
sub010,close,correct,fast,-0.0125580517869496
sub010,close,correct,slow,0.055266660840977
sub010,close,correct,all,0.024799130461412
sub011,open,incorrect,fast,0.106323827950132
sub011,open,incorrect,slow,0.874964294893669
sub011,open,incorrect,all,0.54419683718679
sub011,open,correct,fast,0.361596297026386
sub011,open,correct,slow,0.190307921762578
sub011,open,correct,all,0.267665506071595
sub011,close,incorrect,fast,-0.173680843747495
sub011,close,incorrect,slow,0.0736892363587245
sub011,close,incorrect,all,-0.070829982797442
sub011,close,correct,fast,-0.0904705843024001
sub011,close,correct,slow,0.0633615954409234
sub011,close,correct,all,-0.0224543878586575
sub012,open,incorrect,fast,-0.0437276379524481
sub012,open,incorrect,slow,0.30282338299946
sub012,open,incorrect,all,0.0719876896636117
sub012,open,correct,fast,0.233038283985248
sub012,open,correct,slow,0.200145109824239
sub012,open,correct,all,0.217169606370064
sub012,close,incorrect,fast,0.110218546167609
sub012,close,incorrect,slow,-0.153896385256878
sub012,close,incorrect,all,-0.0286988468049332
sub012,close,correct,fast,-0.0954582502323383
sub012,close,correct,slow,0.1311225149341
sub012,close,correct,all,0.0109466355705702
sub017,open,incorrect,fast,0.294447034786959
sub017,open,incorrect,slow,0.735764517233406
sub017,open,incorrect,all,0.535064466648719
sub017,open,correct,fast,0.0528907671045984
sub017,open,correct,slow,0.0727027329608207
sub017,open,correct,all,0.067632786857405
sub017,close,incorrect,fast,0.312389402815942
sub017,close,incorrect,slow,0.407975790240766
sub017,close,incorrect,all,0.357316659608138
sub017,close,correct,fast,-0.00193787046295746
sub017,close,correct,slow,0.105796646859308
sub017,close,correct,all,0.0460785304746672
sub018,open,incorrect,fast,0.0536671097968582
sub018,open,incorrect,slow,-0.0456858642365923
sub018,open,incorrect,all,-0.0477723330046691
sub018,open,correct,fast,0.128407565473246
sub018,open,correct,slow,0.219998475993079
sub018,open,correct,all,0.168412534322004
sub018,close,incorrect,fast,-0.0895810570048957
sub018,close,incorrect,slow,0.0334101538586173
sub018,close,incorrect,all,-0.0640457426918137
sub018,close,correct,fast,0.191505558655047
sub018,close,correct,slow,0.198418211553806
sub018,close,correct,all,0.194313686836205
sub020,open,incorrect,fast,0.50135664961737
sub020,open,incorrect,slow,0.190640250072872
sub020,open,incorrect,all,0.326577932064057
sub020,open,correct,fast,0.179276589888442
sub020,open,correct,slow,0.685782098695155
sub020,open,correct,all,0.375159185560118
sub020,close,incorrect,fast,-0.0919688329376119
sub020,close,incorrect,slow,-0.107312089699399
sub020,close,incorrect,all,-0.0992348907686158
sub020,close,correct,fast,0.173860580499012
sub020,close,correct,slow,-0.00721840490396867
sub020,close,correct,all,0.0854993715389791
sub021,open,incorrect,fast,0.356920540187006
sub021,open,incorrect,slow,0.245601344626803
sub021,open,incorrect,all,0.295151625680472
sub021,open,correct,fast,0.049325674442446
sub021,open,correct,slow,0.280639824469463
sub021,open,correct,all,0.135789944001074
sub021,close,incorrect,fast,0.451012749084045
sub021,close,incorrect,slow,0.459603093469578
sub021,close,incorrect,all,0.439606814863607
sub021,close,correct,fast,0.207690824992066
sub021,close,correct,slow,0.51928664924358
sub021,close,correct,all,0.355534743615132
sub022,open,incorrect,fast,0.842668215104034
sub022,open,incorrect,slow,0.473481213445036
sub022,open,incorrect,all,0.640135070094294
sub022,open,correct,fast,0.344913470158924
sub022,open,correct,slow,0.231496334641277
sub022,open,correct,all,0.284493487485365
sub022,close,incorrect,fast,0.429931571450603
sub022,close,incorrect,slow,-0.10999170178205
sub022,close,incorrect,all,0.149421789770169
sub022,close,correct,fast,-0.0181878749066345
sub022,close,correct,slow,0.264344070261934
sub022,close,correct,all,0.105186140282402
sub023,open,incorrect,fast,-0.111460036718797
sub023,open,incorrect,slow,0.177719354841087
sub023,open,incorrect,all,0.033372073627695
sub023,open,correct,fast,0.377530039608256
sub023,open,correct,slow,0.160341133088602
sub023,open,correct,all,0.230528555544791
sub023,close,incorrect,fast,-0.0564096112348537
sub023,close,incorrect,slow,0.303983393758694
sub023,close,incorrect,all,0.0705378851748082
sub023,close,correct,fast,0.141442085347489
sub023,close,correct,slow,0.110576795004645
sub023,close,correct,all,0.126529889007708
sub024,open,incorrect,fast,0.273811139520516
sub024,open,incorrect,slow,0.0855770256617478
sub024,open,incorrect,all,0.19992098316331
sub024,open,correct,fast,0.553159877945731
sub024,open,correct,slow,0.4874167740752
sub024,open,correct,all,0.52992802130697
sub024,close,incorrect,fast,-0.0614857452168047
sub024,close,incorrect,slow,0.56914511490442
sub024,close,incorrect,all,0.160678344881251
sub024,close,correct,fast,0.0974410151279505
sub024,close,correct,slow,0.0137539841358326
sub024,close,correct,all,0.0594693646463322
sub025,open,incorrect,fast,0.666528853085716
sub025,open,incorrect,slow,0.238934032630866
sub025,open,incorrect,all,0.421762453762864
sub025,open,correct,fast,0.688461434278268
sub025,open,correct,slow,0.420351894591345
sub025,open,correct,all,0.548040925852607
sub025,close,incorrect,fast,0.127587306971079
sub025,close,incorrect,slow,0.0162507956259687
sub025,close,incorrect,all,0.0671680903499355
sub025,close,correct,fast,0.190033165758348
sub025,close,correct,slow,0.172187696817811
sub025,close,correct,all,0.181277918937493
sub026,open,incorrect,fast,0.494065580010379
sub026,open,incorrect,slow,0.130814031543296
sub026,open,incorrect,all,0.255094464289917
sub026,open,correct,fast,0.0654488242276032
sub026,open,correct,slow,0.183648484940865
sub026,open,correct,all,0.139624815257268
sub026,close,incorrect,fast,0.12737753189061
sub026,close,incorrect,slow,-0.124158845194473
sub026,close,incorrect,all,-0.0749542879405002
sub026,close,correct,fast,0.173257231293171
sub026,close,correct,slow,-0.0222214553265697
sub026,close,correct,all,0.0677830095866011
sub027,open,incorrect,fast,0.353655789959356
sub027,open,incorrect,slow,0.537367253591629
sub027,open,incorrect,all,0.44458943923539
sub027,open,correct,fast,0.508649876912488
sub027,open,correct,slow,0.666761599750733
sub027,open,correct,all,0.580883794129674
sub027,close,incorrect,fast,0.351624560801234
sub027,close,incorrect,slow,0.397646064797712
sub027,close,incorrect,all,0.378905087471936
sub027,close,correct,fast,0.0869232476269561
sub027,close,correct,slow,-0.00584306289270428
sub027,close,correct,all,0.0442521121822173
sub028,open,incorrect,fast,0.251825325922648
sub028,open,incorrect,slow,0.177367813636306
sub028,open,incorrect,all,0.219827674730814
sub028,open,correct,fast,0.00816500419485018
sub028,open,correct,slow,0.260242064259923
sub028,open,correct,all,0.115712178563396
sub028,close,incorrect,fast,0.400431799106418
sub028,close,incorrect,slow,0.429104048596925
sub028,close,incorrect,all,0.401981283025919
sub028,close,correct,fast,0.157659696119872
sub028,close,correct,slow,0.194119916340517
sub028,close,correct,all,0.173869092011155
sub029,open,incorrect,fast,0.514315924705257
sub029,open,incorrect,slow,0.150305878519323
sub029,open,incorrect,all,0.317752685366707
sub029,open,correct,fast,0.0814574249415323
sub029,open,correct,slow,0.128593981864376
sub029,open,correct,all,0.108334137027449
sub029,close,incorrect,fast,0.0589874927952946
sub029,close,incorrect,slow,0.0390065037076823
sub029,close,incorrect,all,0.0404749351923395
sub029,close,correct,fast,0.13245893791029
sub029,close,correct,slow,-0.158297256200839
sub029,close,correct,all,-0.00823617966652556
sub030,open,incorrect,fast,0.487417160213001
sub030,open,incorrect,slow,0.180572096259399
sub030,open,incorrect,all,0.274194631316223
sub030,open,correct,fast,0.144498417335889
sub030,open,correct,slow,0.176302705145497
sub030,open,correct,all,0.160860897457933
sub030,close,incorrect,fast,0.40162724236621
sub030,close,incorrect,slow,0.262859303928351
sub030,close,incorrect,all,0.329530783228564
sub030,close,correct,fast,0.188982856062263
sub030,close,correct,slow,0.190017300815862
sub030,close,correct,all,0.187214601424632
sub031,open,incorrect,fast,0.40155660586561
sub031,open,incorrect,slow,0.357470881346927
sub031,open,incorrect,all,0.389506535666489
sub031,open,correct,fast,0.026194180347378
sub031,open,correct,slow,0.381025854929953
sub031,open,correct,all,0.191013397352409
sub031,close,incorrect,fast,0.497604424521926
sub031,close,incorrect,slow,0.100778029631342
sub031,close,incorrect,all,0.313169334088346
sub031,close,correct,fast,0.516583607949828
sub031,close,correct,slow,0.279216628669845
sub031,close,correct,all,0.394637580714075
sub032,open,incorrect,fast,0.380200999012892
sub032,open,incorrect,slow,0.879493917906839
sub032,open,incorrect,all,0.597889596529209
sub032,open,correct,fast,0.157110655745281
sub032,open,correct,slow,0.479555953521949
sub032,open,correct,all,0.280343489719537
sub032,close,incorrect,fast,-0.197896815349554
sub032,close,incorrect,slow,-0.113218474175782
sub032,close,incorrect,all,-0.143399348029772
sub032,close,correct,fast,0.123222691639456
sub032,close,correct,slow,0.133244312253515
sub032,close,correct,all,0.128020428683724
sub033,open,incorrect,fast,0.157098019801454
sub033,open,incorrect,slow,-0.156011354564592
sub033,open,incorrect,all,-0.0245269711184322
sub033,open,correct,fast,0.485556924042737
sub033,open,correct,slow,0.00569751703119278
sub033,open,correct,all,0.217521226499164
sub033,close,incorrect,fast,0.111638686314979
sub033,close,incorrect,slow,0.192929791662822
sub033,close,incorrect,all,0.153085835870904
sub033,close,correct,fast,0.235351955948669
sub033,close,correct,slow,0.255582426166798
sub033,close,correct,all,0.245691790870882
sub034,open,incorrect,fast,0.0432206090290541
sub034,open,incorrect,slow,0.982561762860519
sub034,open,incorrect,all,0.409334684329557
sub034,open,correct,fast,0.370165562633237
sub034,open,correct,slow,0.405845538012212
sub034,open,correct,all,0.380202249993193
sub034,close,incorrect,fast,0.0406863439402456
sub034,close,incorrect,slow,0.106486710860242
sub034,close,incorrect,all,0.0702169528891064
sub034,close,correct,fast,0.105436009977421
sub034,close,correct,slow,0.43514274726251
sub034,close,correct,all,0.262645803473197
sub035,open,incorrect,fast,0.423646942118383
sub035,open,incorrect,slow,0.0767512175838133
sub035,open,incorrect,all,0.233725392432105
sub035,open,correct,fast,0.295935615003953
sub035,open,correct,slow,0.274383791408665
sub035,open,correct,all,0.246066470883941
sub035,close,incorrect,fast,0.0341278721233558
sub035,close,incorrect,slow,0.00829173004433535
sub035,close,incorrect,all,0.0272181282416217
sub035,close,correct,fast,0.167809441450883
sub035,close,correct,slow,0.311800568218921
sub035,close,correct,all,0.22625171338159
sub036,open,incorrect,fast,0.100766040570931
sub036,open,incorrect,slow,0.461152658386277
sub036,open,incorrect,all,0.256444650597074
sub036,open,correct,fast,0.129200617717055
sub036,open,correct,slow,0.594318197808538
sub036,open,correct,all,0.326209682877028
sub036,close,incorrect,fast,0.46433310580604
sub036,close,incorrect,slow,0.697863423221054
sub036,close,incorrect,all,0.563960929540046
sub036,close,correct,fast,0.133116997060292
sub036,close,correct,slow,0.13113950507334
sub036,close,correct,all,0.129688213832252
sub037,open,incorrect,fast,0.44768849291042
sub037,open,incorrect,slow,-0.0826797076607544
sub037,open,incorrect,all,0.224843394414976
sub037,open,correct,fast,0.286840619425641
sub037,open,correct,slow,0.179380000501992
sub037,open,correct,all,0.223349281327385
sub037,close,incorrect,fast,0.106862956638242
sub037,close,incorrect,slow,-0.326351577284006
sub037,close,incorrect,all,-0.137802885269591
sub037,close,correct,fast,0.103814786588432
sub037,close,correct,slow,0.229547486919951
sub037,close,correct,all,0.158098597740576
sub039,open,incorrect,fast,0.303798536268896
sub039,open,incorrect,slow,0.321935557238395
sub039,open,incorrect,all,0.293971382726761
sub039,open,correct,fast,0.237869782149915
sub039,open,correct,slow,0.208933851897221
sub039,open,correct,all,0.217947120542006
sub039,close,incorrect,fast,0.191823646743524
sub039,close,incorrect,slow,-0.0846289705591054
sub039,close,incorrect,all,0.0351208009488869
sub039,close,correct,fast,0.107414624701063
sub039,close,correct,slow,0.165054263211263
sub039,close,correct,all,0.135683903196695
